Switch , X-axis, Y-axis
1, 508, 527
1, 508, 528 
1, 508, 527
1, 508, 528
1, 508, 528
1, 508, 527
1, 508, 527
1, 508, 527
1, 507, 528
1, 508, 528
1, 508, 528
1, 508, 527
1, 508, 527
1, 508, 528
1, 508, 528
1, 508, 528
1, 508, 527
1, 508, 527
1, 508, 527
1, 508, 528
1, 508, 528
1, 508, 527
1, 508, 528
1, 508, 528
1, 507, 527
1, 508, 527
1, 507, 527
1, 508, 527
1, 508, 528
1, 507, 527
1, 508, 528
1, 508, 528
1, 508, 527
1, 507, 527
1, 507, 527
1, 508, 527
1, 508, 528
1, 508, 528
1, 507, 528
1, 507, 527
1, 508, 528
1, 508, 528
1, 508, 528
1, 508, 528
1, 508, 527
1, 508, 527
1, 508, 527
1, 508, 527
1, 508, 528
1, 508, 527
1, 507, 528
1, 508, 527
1, 508, 528
1, 508, 527
1, 507, 527
1, 508, 528
1, 508, 528
1, 508, 527
1, 508, 527
1, 508, 528
1, 508, 528
1, 508, 527
1, 507, 527
1, 507, 528
1, 508, 527
1, 508, 527
1, 507, 527
1, 508, 527
1, 508, 528
1, 508, 528
1, 509, 527
1, 508, 527
1, 508, 528
1, 508, 528
1, 508, 528
1, 508, 527
1, 508, 528
1, 507, 528
1, 508, 527
1, 507, 527
1, 507, 528
1, 508, 527
1, 508, 527
1, 508, 527
1, 508, 528
1, 508, 527
1, 508, 527
1, 508, 527
1, 508, 527
1, 508, 527
1, 508, 528
1, 508, 527
1, 508, 528
1, 508, 528
1, 508, 527
1, 508, 527
1, 508, 527
1, 508, 527
1, 508, 527
1, 507, 527
1, 508, 528
1, 508, 527
1, 508, 528
1, 508, 527
1, 508, 528
1, 508, 527
1, 508, 528
1, 507, 528
1, 508, 527
1, 508, 527
1, 507, 527
1, 507, 528
1, 508, 527
1, 508, 527
1, 508, 528
1, 508, 528
1, 508, 527
1, 508, 528
1, 508, 528
1, 508, 527
1, 507, 528
1, 508, 528
1, 508, 527
1, 508, 527
1, 508, 528
1, 508, 527
1, 507, 527
1, 508, 528
1, 508, 527
1, 508, 528
1, 508, 528
1, 508, 527
1, 508, 527
1, 508, 527
1, 507, 528
1, 507, 527
1, 508, 527
1, 508, 527
1, 508, 528
1, 508, 529
1, 507, 527
1, 508, 527
1, 508, 528
1, 508, 527
1, 508, 527
1, 508, 528
1, 508, 527
1, 507, 528
1, 508, 528
1, 508, 527
1, 508, 527
1, 507, 527
1, 508, 527
1, 507, 528
1, 508, 527
1, 508, 526
1, 508, 528
1, 508, 527
1, 508, 527
1, 508, 527
1, 508, 527
1, 508, 528
1, 508, 528
1, 508, 528
1, 508, 527
1, 508, 527
1, 508, 527
1, 502, 525
1, 504, 524
1, 507, 528
1, 507, 528
1, 507, 527
1, 505, 526
1, 507, 527
1, 508, 528
1, 507, 527
1, 508, 528
1, 508, 528
1, 508, 528
1, 508, 528
1, 508, 528
1, 508, 527
1, 508, 527
1, 508, 528
1, 508, 528
1, 508, 527
1, 507, 528
1, 508, 528
1, 508, 528
1, 508, 527
1, 508, 527
1, 507, 527
1, 507, 526
1, 504, 525
1, 507, 527
1, 507, 466
1, 505, 526
1, 505, 525
1, 505, 525
1, 505, 524
1, 505, 524
1, 504, 522
1, 503, 523
1, 503, 523
1, 503, 523
1, 503, 523
1, 503, 523
1, 503, 523
1, 503, 523
1, 503, 522
1, 503, 523
1, 502, 522
1, 501, 520
1, 500, 518
1, 496, 515
1, 494, 514
1, 492, 512
1, 486, 516
1, 508, 528
1, 508, 527
1, 508, 529
1, 508, 527
1, 508, 527
1, 507, 528
1, 508, 527
1, 508, 528
1, 508, 528
1, 508, 528
1, 508, 528
1, 508, 527
1, 508, 527
1, 508, 529
1, 508, 527
1, 508, 527
1, 508, 528
1, 508, 527
1, 507, 528
1, 508, 527
1, 508, 527
1, 509, 528
1, 508, 527
1, 507, 527
1, 508, 528
1, 508, 527
1, 507, 528
1, 508, 528
1, 508, 527
1, 508, 527
1, 508, 527
1, 508, 528
1, 508, 528
1, 508, 527
1, 507, 528
1, 507, 527
1, 508, 527
1, 507, 527
1, 508, 527
1, 507, 527
1, 508, 527
1, 507, 527
1, 508, 527
1, 508, 527
1, 507, 527
1, 507, 527
1, 508, 527
1, 507, 527
1, 507, 527
1, 508, 528
1, 508, 527
1, 507, 527
1, 507, 527
1, 508, 527
1, 508, 527
1, 508, 527
1, 508, 527
1, 508, 528
1, 508, 528
1, 508, 527
1, 509, 527
1, 508, 528
1, 508, 527
1, 508, 527
1, 508, 527
1, 508, 527
1, 508, 527
1, 507, 527
1, 507, 527
1, 507, 527
1, 508, 527
1, 508, 528
1, 508, 528
1, 508, 528
1, 508, 528
1, 508, 528
1, 509, 527
1, 508, 527
1, 508, 527
1, 508, 528
1, 508, 527
1, 507, 528
1, 508, 528
1, 508, 527
1, 508, 528
1, 508, 528
1, 508, 528
1, 507, 527
1, 507, 527
1, 508, 528
1, 508, 528
1, 509, 527
1, 508, 528
1, 507, 527
1, 508, 527
1, 508, 527
1, 508, 528
1, 508, 527
1, 508, 527
1, 508, 527
1, 508, 527
1, 507, 527
1, 508, 527
1, 508, 528
1, 508, 527
1, 508, 527
1, 507, 527
1, 507, 528
1, 508, 528
1, 508, 528
1, 508, 527
1, 508, 527
1, 508, 527
1, 508, 528
1, 508, 528
1, 508, 527
1, 508, 527
1, 507, 527
1, 508, 527
1, 508, 527
1, 508, 528
1, 508, 528
1, 507, 528
1, 508, 528
1, 508, 527
1, 508, 527
1, 508, 528
1, 508, 528
1, 508, 527
1, 508, 527
1, 508, 528
1, 508, 528
1, 508, 527
1, 508, 527
1, 508, 528
1, 508, 528
1, 508, 527
1, 507, 528
1, 507, 527
1, 508, 528
1, 508, 528
1, 508, 527
1, 508, 528
1, 508, 527
1, 508, 528
1, 507, 527
1, 508, 527
1, 508, 527
1, 508, 528
1, 508, 527
1, 507, 528
1, 508, 529
1, 508, 528
1, 508, 528
1, 508, 527
1, 508, 527
1, 508, 528
1, 507, 527
1, 508, 527
1, 507, 528
1, 508, 527
1, 508, 528
1, 508, 527
1, 508, 528
1, 508, 528
1, 508, 527
1, 508, 527
1, 508, 528
1, 508, 527
1, 508, 527
1, 508, 528
1, 508, 527
1, 508, 528
1, 508, 528
1, 508, 528
1, 508, 527
1, 508, 527
1, 508, 527
1, 508, 528
1, 508, 527
1, 508, 527
1, 508, 527
1, 507, 528
1, 507, 527
1, 508, 528
1, 508, 528
1, 508, 528
1, 507, 528
1, 508, 528
1, 508, 528
1, 508, 527
1, 507, 527
1, 508, 527
1, 508, 528
1, 508, 528
1, 508, 527
1, 508, 527
1, 507, 528
1, 508, 527
1, 508, 527
1, 508, 527
1, 508, 527
1, 508, 528
1, 508, 527
1, 508, 528
1, 508, 528
1, 508, 528
1, 508, 527
1, 508, 527
1, 508, 528
1, 508, 528
1, 508, 527
1, 508, 527
1, 508, 528
1, 508, 527
1, 508, 527
1, 508, 527
1, 508, 528
1, 508, 528
1, 508, 528
1, 508, 527
1, 508, 528
1, 508, 528
1, 508, 528
1, 508, 528
1, 508, 528
1, 508, 529
1, 507, 527
1, 508, 528
1, 508, 528
1, 508, 527
1, 508, 527
1, 508, 527
1, 508, 528
1, 508, 528
1, 508, 528
1, 508, 528
1, 507, 528
1, 508, 528
1, 508, 527
1, 508, 527
1, 508, 527
1, 508, 528
1, 508, 527
1, 508, 527
1, 509, 527
1, 508, 528
1, 508, 527
1, 508, 528
1, 508, 527
1, 508, 528
1, 508, 527
1, 508, 528
1, 507, 528
1, 508, 528
1, 507, 527
1, 508, 527
1, 508, 528
1, 508, 528
1, 509, 528
1, 508, 528
1, 508, 527
1, 508, 528
1, 508, 527
1, 508, 527
1, 507, 527
1, 507, 528
1, 508, 527
1, 508, 527
1, 508, 527
1, 508, 527
1, 508, 528
1, 507, 527
1, 507, 527
1, 508, 528
1, 508, 527
1, 508, 528
1, 508, 527
1, 508, 528
1, 508, 527
1, 507, 527
1, 508, 527
1, 508, 528
1, 508, 527
1, 507, 528
1, 508, 527
1, 508, 528
1, 508, 527
1, 508, 528
1, 508, 527
1, 508, 528
1, 507, 527
1, 507, 527
1, 507, 528
1, 508, 527
1, 508, 527
1, 508, 527
1, 508, 527
1, 508, 528
1, 508, 528
1, 508, 527
1, 507, 527
1, 508, 527
1, 508, 527
1, 508, 527
1, 508, 527
1, 508, 528
1, 508, 527
1, 508, 527
1, 508, 528
1, 507, 527
1, 508, 528
1, 508, 527
1, 508, 528
1, 508, 528
1, 508, 528
1, 508, 528
1, 508, 527
1, 508, 527
1, 508, 528
1, 508, 528
1, 508, 527
1, 508, 527
1, 508, 527
1, 507, 527
1, 508, 528
1, 508, 527
1, 508, 528
1, 509, 527
1, 508, 527
1, 508, 528
1, 508, 527
1, 510, 528
1, 508, 529
1, 508, 527
1, 508, 528
1, 508, 528
1, 508, 527
1, 508, 528
1, 508, 527
1, 508, 528
1, 508, 528
1, 508, 528
1, 508, 527
1, 507, 528
1, 508, 527
1, 508, 528
1, 508, 527
1, 507, 527
1, 508, 527
1, 508, 528
1, 508, 528
1, 508, 528
1, 508, 528
1, 508, 528
1, 508, 527
1, 507, 527
1, 508, 527
1, 508, 528
1, 508, 528
1, 507, 527
1, 508, 528
1, 508, 528
1, 508, 527
1, 507, 527
1, 508, 528
1, 508, 528
1, 508, 527
1, 508, 527
1, 508, 528
1, 508, 528
1, 508, 527
1, 508, 527
1, 508, 528
1, 508, 527
1, 508, 527
1, 509, 527
1, 508, 528
1, 508, 528
1, 508, 528
1, 508, 527
1, 508, 527
1, 508, 528
1, 508, 527
1, 508, 528
1, 508, 527
1, 508, 527
1, 507, 527
1, 508, 528
1, 508, 528
1, 508, 527
1, 508, 527
1, 508, 527
1, 508, 527
1, 507, 528
1, 508, 527
1, 508, 527
1, 508, 527
1, 508, 527
1, 508, 528
1, 508, 527
1, 508, 527
1, 508, 528
1, 508, 528
1, 508, 528
1, 508, 528
1, 508, 527
1, 508, 527
1, 508, 528
1, 508, 527
1, 509, 528
1, 508, 527
1, 508, 527
1, 507, 528
1, 508, 528
1, 508, 528
1, 508, 527
1, 507, 528
1, 508, 528
1, 508, 527
1, 507, 527
1, 508, 528
1, 508, 528
1, 508, 527
1, 507, 528
1, 508, 527
1, 508, 528
1, 508, 528
1, 508, 527
1, 508, 527
1, 508, 527
1, 508, 528
1, 507, 527
1, 507, 528
1, 508, 527
1, 508, 528
1, 508, 528
1, 507, 529
1, 508, 530
1, 508, 530
1, 508, 530
1, 509, 530
1, 508, 531
1, 508, 532
1, 508, 532
1, 507, 535
1, 508, 539
1, 508, 543
1, 508, 549
1, 508, 554
1, 508, 555
1, 508, 559
1, 507, 566
1, 508, 579
1, 508, 582
1, 507, 588
1, 508, 594
1, 508, 603
1, 508, 606
1, 508, 608
1, 508, 615
1, 507, 621
1, 508, 625
1, 508, 629
1, 508, 635
1, 508, 641
1, 508, 648
1, 508, 654
1, 508, 660
1, 508, 666
1, 508, 673
1, 507, 679
1, 508, 688
1, 508, 694
1, 508, 707
1, 507, 721
1, 508, 729
1, 508, 737
1, 508, 749
1, 508, 764
1, 508, 771
1, 508, 779
1, 508, 793
1, 508, 804
1, 508, 811
1, 508, 825
1, 508, 835
1, 507, 844
1, 508, 852
1, 508, 866
1, 508, 875
1, 508, 881
1, 508, 888
1, 508, 897
1, 508, 901
1, 508, 906
1, 508, 911
1, 508, 920
1, 508, 924
1, 508, 928
1, 508, 932
1, 508, 938
1, 508, 952
1, 508, 959
1, 508, 966
1, 508, 978
1, 508, 998
1, 508, 1010
1, 508, 1018
1, 508, 1020
1, 508, 1022
1, 508, 1023
1, 508, 1023
1, 508, 1023
1, 508, 1023
1, 508, 1023
1, 508, 1023
1, 508, 1023
1, 508, 1023
1, 508, 1023
1, 508, 1023
1, 509, 1023
1, 508, 1023
1, 508, 1023
1, 508, 1023
1, 508, 1023
1, 508, 1023
1, 508, 1023
1, 507, 1023
1, 507, 1023
1, 508, 1023
1, 507, 1023
1, 508, 1023
1, 507, 1022
1, 508, 1023
1, 508, 1023
1, 508, 1023
1, 507, 1023
1, 508, 1023
1, 508, 1023
1, 508, 1023
1, 508, 1023
1, 508, 1023
1, 508, 1023
1, 508, 1023
1, 508, 1023
1, 508, 1023
1, 509, 1023
1, 508, 1023
1, 508, 1022
1, 508, 1023
1, 508, 1023
1, 508, 1023
1, 508, 1023
1, 507, 1023
1, 508, 1023
1, 508, 1023
1, 507, 1023
1, 508, 1023
1, 508, 1023
1, 508, 1023
1, 508, 1023
1, 508, 1023
1, 508, 1023
1, 508, 1023
1, 508, 1023
1, 508, 1023
1, 508, 1023
1, 508, 1023
1, 508, 1023
1, 508, 1023
1, 508, 1023
1, 508, 1023
1, 508, 1023
1, 508, 1023
1, 508, 1023
1, 508, 1023
1, 508, 1023
1, 508, 1023
1, 508, 1023
1, 508, 1023
1, 508, 1023
1, 508, 1023
1, 508, 1023
1, 508, 1023
1, 508, 1023
1, 508, 1023
1, 508, 1023
1, 507, 1023
1, 508, 1023
1, 508, 1023
1, 508, 1023
1, 508, 1023
1, 507, 1023
1, 508, 1023
1, 508, 1022
1, 508, 1023
1, 508, 1023
1, 508, 1023
1, 508, 1023
1, 507, 1023
1, 508, 1023
1, 508, 1023
1, 508, 1023
1, 508, 1023
1, 508, 1023
1, 508, 1023
1, 508, 1023
1, 508, 1023
1, 508, 1023
1, 507, 1023
1, 508, 1023
1, 508, 1023
1, 508, 1023
1, 508, 1023
1, 508, 1023
1, 508, 1023
1, 508, 1023
1, 508, 1023
1, 508, 1023
1, 508, 1023
1, 508, 1023
1, 508, 1023
1, 508, 1023
1, 508, 1023
1, 508, 1023
1, 508, 1023
1, 508, 1023
1, 508, 1023
1, 508, 1023
1, 508, 1023
1, 508, 1023
1, 507, 1023
1, 508, 1023
1, 508, 1023
1, 508, 1023
1, 508, 1023
1, 508, 1023
1, 508, 1023
1, 508, 1023
1, 508, 1023
1, 508, 1023
1, 508, 1023
1, 508, 1023
1, 508, 1023
1, 507, 1023
1, 507, 1023
1, 507, 1023
1, 509, 1023
1, 508, 1023
1, 508, 1023
1, 508, 1023
1, 508, 1023
1, 508, 1023
1, 508, 1023
1, 508, 1023
1, 508, 1023
1, 508, 1023
1, 508, 1023
1, 508, 1023
1, 508, 1023
1, 508, 1023
1, 508, 1023
1, 508, 1023
1, 508, 1023
1, 508, 1023
1, 508, 1023
1, 508, 1023
1, 508, 1023
1, 508, 1023
1, 508, 1023
1, 509, 1023
1, 508, 1023
1, 508, 1023
1, 508, 1023
1, 508, 1023
1, 508, 1023
1, 508, 1023
1, 508, 1023
1, 508, 1023
1, 508, 1023
1, 508, 1023
1, 508, 1023
1, 508, 1023
1, 508, 1023
1, 508, 1023
1, 508, 1023
1, 508, 1023
1, 507, 1023
1, 508, 1023
1, 508, 1023
1, 508, 1023
1, 508, 1023
1, 508, 1023
1, 508, 1023
1, 508, 1023
1, 508, 1023
1, 508, 1023
1, 508, 1023
1, 508, 1023
1, 508, 1023
1, 508, 1023
1, 508, 1023
1, 508, 1023
1, 508, 1023
1, 508, 1023
1, 507, 1023
1, 508, 1022
1, 508, 1023
1, 508, 1023
1, 508, 1023
1, 508, 1023
1, 508, 1023
1, 508, 1023
1, 508, 1023
1, 508, 1023
1, 508, 1023
1, 508, 1023
1, 508, 1023
1, 508, 1023
1, 508, 1023
1, 508, 1023
1, 508, 1023
1, 508, 1023
1, 508, 1023
1, 508, 1023
1, 507, 1023
1, 508, 1023
1, 509, 1023
1, 508, 1023
1, 508, 1023
1, 508, 1023
1, 508, 1023
1, 508, 1023
1, 508, 1023
1, 508, 1023
1, 508, 1023
1, 508, 1023
1, 508, 1023
1, 508, 1023
1, 507, 1023
1, 508, 1023
1, 508, 1023
1, 508, 1023
1, 508, 1023
1, 508, 1023
1, 508, 1023
1, 507, 1023
1, 508, 1023
1, 508, 1023
1, 508, 1023
1, 508, 1023
1, 508, 1023
1, 508, 1023
1, 508, 1023
1, 508, 1023
1, 508, 1023
1, 508, 1023
1, 507, 1023
1, 508, 1023
1, 507, 1023
1, 507, 1023
1, 507, 1023
1, 506, 1023
1, 503, 1023
1, 502, 1023
1, 500, 1023
1, 498, 1023
1, 496, 1023
1, 494, 1023
1, 487, 1023
1, 470, 1023
1, 463, 1023
1, 461, 1023
1, 458, 1023
1, 448, 1023
1, 429, 1023
1, 421, 1023
1, 414, 1023
1, 403, 1023
1, 397, 1023
1, 390, 1023
1, 381, 1023
1, 376, 1023
1, 371, 1023
1, 364, 1023
1, 355, 1023
1, 348, 1023
1, 343, 1023
1, 337, 1023
1, 323, 1022
1, 314, 1021
1, 302, 1010
1, 297, 1012
1, 0, 0
1, 0, 0
1, 0, 0
1, 275, 0
1, 0, 0
1, 0, 0
1, 0, 0
1, 0, 0
1, 0, 0
1, 0, 0
1, 228, 970
1, 214, 642
1, 145, 0
1, 0, 0
1, 0, 0
1, 0, 0
1, 0, 0
1, 0, 0
1, 0, 0
1, 0, 3
1, 0, 0
1, 0, 0
1, 0, 0
1, 0, 0
1, 0, 0
1, 0, 0
1, 0, 0
1, 0, 0
1, 0, 0
1, 0, 0
1, 0, 0
1, 0, 0
1, 0, 0
1, 0, 0
1, 0, 0
1, 0, 0
1, 0, 0
1, 0, 0
1, 0, 0
1, 0, 0
1, 0, 0
1, 0, 0
1, 0, 0
1, 0, 0
1, 0, 0
1, 0, 0
1, 0, 0
1, 0, 0
1, 0, 0
1, 0, 0
1, 0, 0
1, 0, 0
1, 0, 0
1, 0, 0
1, 0, 0
1, 0, 0
1, 0, 0
1, 0, 0
1, 0, 0
1, 0, 0
1, 0, 0
1, 0, 0
1, 0, 0
1, 0, 1
1, 0, 0
1, 0, 0
1, 0, 0
1, 0, 0
1, 0, 0
1, 0, 0
1, 0, 0
1, 0, 0
1, 0, 0
1, 0, 0
1, 0, 0
1, 0, 0
1, 0, 0
1, 0, 0
1, 0, 0
1, 0, 0
1, 0, 0
1, 0, 0
1, 0, 0
1, 0, 0
1, 0, 0
1, 0, 1
1, 0, 0
1, 0, 0
1, 0, 0
1, 0, 0
1, 0, 0
1, 0, 0
1, 0, 0
1, 0, 2
1, 0, 0
1, 0, 0
1, 0, 0
1, 0, 0
1, 0, 0
1, 0, 661
1, 0, 1008
1, 0, 988
1, 0, 605
1, 0, 689
1, 0, 742
1, 0, 750
1, 0, 687
1, 0, 696
1, 0, 707
1, 0, 0
1, 0, 0
1, 0, 0
1, 0, 0
1, 0, 1
1, 0, 0
1, 0, 0
1, 0, 0
1, 0, 0
1, 0, 0
1, 0, 0
1, 0, 0
1, 0, 1
1, 0, 0
1, 0, 0
1, 0, 525
1, 0, 686
1, 0, 736
1, 0, 722
1, 0, 676
1, 0, 694
1, 0, 713
1, 0, 737
1, 0, 744
1, 0, 756
1, 0, 756
1, 0, 755
1, 0, 755
1, 0, 756
1, 0, 755
1, 0, 756
1, 0, 754
1, 0, 753
1, 0, 753
1, 0, 752
1, 0, 751
1, 0, 750
1, 0, 750
1, 0, 749
1, 0, 744
1, 0, 717
1, 0, 720
1, 0, 707
1, 0, 708
1, 0, 718
1, 0, 724
1, 0, 718
1, 0, 734
1, 0, 708
1, 0, 726
1, 0, 740
1, 0, 721
1, 0, 747
1, 0, 717
1, 0, 713
1, 0, 701
1, 0, 714
1, 0, 1007
1, 0, 642
1, 0, 1007
1, 0, 1018
1, 0, 4
1, 0, 1019
1, 0, 992
1, 0, 957
1, 0, 993
1, 0, 1001
1, 0, 972
1, 0, 816
1, 0, 1006
1, 0, 1013
1, 0, 1020
1, 0, 974
1, 0, 1019
1, 0, 1017
1, 0, 1014
1, 0, 955
1, 0, 997
1, 0, 1009
1, 0, 1016
1, 0, 1000
1, 0, 1018
1, 0, 1013
1, 0, 1009
1, 0, 1016
1, 0, 1018
1, 0, 1020
1, 0, 1019
1, 0, 1009
1, 0, 936
1, 0, 0
1, 0, 0
